[17, 49]
[18, 44]
[19, 49]
[21, 26]
[21, 28]
[21, 29]
[21, 31]
[21, 32]
[21, 33]
[21, 34]
[21, 37]
[21, 40]
[21, 41]
[21, 42]
[21, 43]
[21, 458]
[21, 694]
[26, 31]
[26, 32]
[26, 33]
[26, 34]
[26, 37]
[26, 40]
[26, 41]
[26, 42]
[26, 458]
[26, 694]
[28, 31]
[28, 32]
[28, 33]
[28, 34]
[28, 37]
[28, 40]
[28, 41]
[28, 42]
[28, 458]
[28, 694]
[29, 31]
[29, 32]
[29, 33]
[29, 34]
[29, 37]
[29, 40]
[29, 41]
[29, 42]
[29, 458]
[29, 694]
[31, 37]
[31, 40]
[31, 41]
[31, 42]
[31, 43]
[31, 458]
[31, 694]
[32, 37]
[32, 40]
[32, 41]
[32, 42]
[32, 458]
[32, 694]
[33, 37]
[33, 40]
[33, 41]
[33, 42]
[33, 458]
[33, 694]
[34, 37]
[34, 40]
[34, 41]
[34, 42]
[34, 458]
[34, 694]
[37, 458]
[37, 694]
[40, 458]
[40, 694]
[41, 458]
[41, 694]
[45, 49]
[46, 49]
[85, 87]
[85, 88]
[85, 89]
[85, 90]
[85, 91]
[85, 92]
[85, 93]
[85, 94]
[85, 95]
[85, 96]
[85, 97]
[86, 89]
[86, 90]
[87, 91]
[87, 92]
[87, 93]
[87, 94]
[87, 95]
[87, 96]
[88, 93]
[88, 95]
[88, 96]
[88, 97]
[91, 95]
[91, 96]
[92, 95]
[92, 96]
[93, 95]
[93, 96]
[93, 97]
[94, 95]
[94, 96]
[108, 117]
[108, 118]
[116, 117]
[124, 129]
[124, 152]
[125, 128]
[125, 129]
[125, 152]
[126, 132]
[126, 133]
[126, 134]
[126, 135]
[127, 136]
[127, 142]
[128, 129]
[128, 152]
[129, 152]
[131, 154]
[137, 138]
[139, 143]
[139, 144]
[139, 146]
[139, 147]
[139, 150]
[139, 151]
[139, 219]
[139, 220]
[139, 222]
[139, 223]
[139, 224]
[139, 225]
[140, 143]
[140, 144]
[140, 146]
[140, 147]
[140, 150]
[140, 151]
[140, 219]
[140, 220]
[140, 222]
[140, 223]
[140, 224]
[140, 225]
[143, 223]
[144, 146]
[144, 147]
[144, 150]
[144, 223]
[146, 219]
